date	count	total
8/1/13	45	-340.5
8/5/13	100	-875.88
8/6/13	123	-1314.26
8/7/13	144	-1388.23
8/8/13	115	-1326.6
8/9/13	155	-1668.65
8/10/13	149	-1745.7
8/11/13	173	-1809.46
8/12/13	111	-1158.3
8/13/13	98	-962.98
8/14/13	122	-1284.38
8/15/13	126	-2055.98
8/16/13	153	-1915.52
8/17/13	155	-2025.92
8/18/13	132	-1655.5
8/19/13	94	-993
8/20/13	118	-2808.05
8/21/13	144	-1465.03
8/22/13	157	-1481.98
8/23/13	152	-1577.71
8/24/13	137	-1306.33
8/25/13	122	-1378.81
8/26/13	106	-1501.23
8/27/13	127	-1236.57
8/28/13	137	-2075.57
8/29/13	136	-1384.1
8/30/13	158	-1916
8/31/13	124	-1744.75
